ENSMUSG00000102693.2	4933401J01Rik
ENSMUSG00000084144.2	Gm12516
ENSMUSG00000084404.2	Gm12513
ENSMUSG00000087070.2	Gm12505
ENSMUSG00000086346.2	Gm12510
ENSMUSG00000077635.2	Gm22150
ENSMUSG00000082952.2	Gm12507
ENSMUSG00000003032.9	Klf4
ENSMUSG00000120546.1	Gm34343
ENSMUSG00000066176.4	Gm12511
ENSMUSG00000085375.2	Gm12506
ENSMUSG00000120306.1	Gm57093
ENSMUSG00000085643.3	Gm12519
ENSMUSG00000081290.2	Gm12520
ENSMUSG00000085020.2	2310081O03Rik
ENSMUSG00000082613.2	Gm12518
ENSMUSG00000077663.2	Gm26144
ENSMUSG00000070980.5	Actl7b
ENSMUSG00000070979.6	Actl7a
ENSMUSG00000028431.12	Elp1
ENSMUSG00002075696.1	Gm56132
ENSMUSG00000038827.12	Abitram
ENSMUSG00000038816.15	Ctnnal1
ENSMUSG00000055296.15	Tmem245
ENSMUSG00000065544.2	Mir32
ENSMUSG00002075508.1	Gm25053
ENSMUSG00000106585.2	Gm25053
ENSMUSG00000064595.2	Gm22300
ENSMUSG00000045589.8	Frrs1l
ENSMUSG00000028434.13	Epb41l4b
ENSMUSG00000085967.2	Gm12530
ENSMUSG00000038764.15	Ptpn3
ENSMUSG00000085654.2	Gm12536
ENSMUSG00000087044.2	1700042G15Rik
ENSMUSG00000095042.2	Gm12537
ENSMUSG00000081540.4	Gm12538
ENSMUSG00000090053.10	Pakap
ENSMUSG00000081615.2	Gm12539
ENSMUSG00000089945.14	Pakap
ENSMUSG00000038729.25	Pakap
ENSMUSG00000073846.5	Gm12526
ENSMUSG00002076792.1	Gm56147
ENSMUSG00000096195.2	Gm26138
ENSMUSG00000052117.6	D630039A03Rik
ENSMUSG00000028367.6	Txn1
ENSMUSG00000119963.1	Gm57068
ENSMUSG00000038709.16	Txndc8
ENSMUSG00000028369.16	Svep1
ENSMUSG00000057280.17	Musk
ENSMUSG00000038668.15	Lpar1
ENSMUSG00000093293.2	Mir3095
ENSMUSG00000083834.2	Gm12577
ENSMUSG00000081186.2	Gm12578
ENSMUSG00000083145.2	Gm12579
ENSMUSG00000086470.2	Gm12580
ENSMUSG00000043385.5	Or2k2
ENSMUSG00000050812.19	Ecpas
ENSMUSG00002076044.1	Gm56161
ENSMUSG00000038630.9	Zkscan16
ENSMUSG00000028378.7	Ptgr1
ENSMUSG00000070972.14	Dnajc25
ENSMUSG00000038607.13	Gng10
ENSMUSG00000038598.10	Shoc1
ENSMUSG00000081432.2	Gm12593
ENSMUSG00000086660.2	Gm12594
ENSMUSG00000082978.2	Rpsa-ps11
ENSMUSG00000028381.9	Ugcg
ENSMUSG00000086952.3	Gm12596
ENSMUSG00000120318.1	Gm57072
ENSMUSG00000038578.16	Susd1
ENSMUSG00000083979.2	Gm12527
ENSMUSG00000028382.16	Ptbp3
ENSMUSG00000080831.2	Gm12529
ENSMUSG00000028383.18	Hsdl2
ENSMUSG00000045071.15	E130308A19Rik
ENSMUSG00000038544.15	Inip
ENSMUSG00000028385.15	Snx30
ENSMUSG00000080772.2	Gm12543
ENSMUSG00000073843.4	Gm12542
ENSMUSG00000028386.2	Slc46a2
ENSMUSG00000041333.7	Mup4
ENSMUSG00000078689.9	Mup6
ENSMUSG00000073842.11	Mup7
ENSMUSG00000083239.2	Mup-ps1
ENSMUSG00000078688.12	Mup2
ENSMUSG00000073840.7	Mup-ps2
ENSMUSG00000078687.10	Mup8
ENSMUSG00000095455.2	Mup-ps3
ENSMUSG00000096654.2	Mup-ps29
ENSMUSG00000083293.2	Mup-ps28
ENSMUSG00000078686.12	Mup9
ENSMUSG00000078685.7	Mup-ps4
ENSMUSG00000094202.2	Mup-ps26
ENSMUSG00000078683.10	Mup1
ENSMUSG00000086253.2	Gm13773
ENSMUSG00000094222.2	Mup-ps6
ENSMUSG00000094235.2	Mup-ps24
ENSMUSG00000078680.4	Mup10
ENSMUSG00000082868.2	Mup-ps5
ENSMUSG00000073834.11	Mup11
ENSMUSG00000094743.3	Mup-ps7
ENSMUSG00000094793.2	Mup12
ENSMUSG00000096891.2	Mup-ps8
ENSMUSG00000110439.2	Mup22
ENSMUSG00000094948.3	Gm21286
ENSMUSG00000096652.2	Mup-ps9
ENSMUSG00000089873.9	Mup13
ENSMUSG00000082173.2	Mup-ps10
ENSMUSG00000073830.12	Mup14
ENSMUSG00000095978.2	Mup-ps11
ENSMUSG00000096674.2	Mup15
ENSMUSG00000073835.6	Mup-ps12
ENSMUSG00000078675.10	Mup16
ENSMUSG00000095532.2	Mup-ps13
ENSMUSG00000096688.2	Mup17
ENSMUSG00000082065.2	Mup-ps14
ENSMUSG00000078674.3	Mup18
ENSMUSG00000083304.2	Mup-ps15
ENSMUSG00000095307.2	Gm12573
ENSMUSG00000078673.11	Mup19
ENSMUSG00000081207.5	Gm13775
ENSMUSG00000090090.2	Mup-ps16
ENSMUSG00000058523.3	Mup5
ENSMUSG00000081755.2	Mup-ps23
ENSMUSG00000081053.2	Mup-ps17
ENSMUSG00000082363.2	Mup-ps18
ENSMUSG00000082644.2	Mup-ps19
ENSMUSG00000084309.2	Mup-ps20
ENSMUSG00000083524.2	Mup-ps21
ENSMUSG00000078672.3	Mup20
ENSMUSG00000066154.13	Mup3
ENSMUSG00000085404.2	Gm12909
ENSMUSG00000086530.2	Gm12910
ENSMUSG00000066153.3	Mup21
ENSMUSG00000028389.13	Zfp37
ENSMUSG00000066152.12	Slc31a2
ENSMUSG00000118769.1	Gm23148
ENSMUSG00000066151.13	Fkbp15
ENSMUSG00000066150.13	Slc31a1
ENSMUSG00000066149.12	Cdc26
ENSMUSG00000066148.4	Prpf4
ENSMUSG00000063851.13	Rnf183
ENSMUSG00000028391.17	Wdr31
ENSMUSG00000028392.16	Bspry
ENSMUSG00000038422.3	Hdhd3
ENSMUSG00000028393.11	Alad
ENSMUSG00000028394.10	Pole3
ENSMUSG00000058046.2	4933430I17Rik
ENSMUSG00000059810.19	Rgs3
ENSMUSG00000085177.2	Gm11209
ENSMUSG00000085223.2	Gm11210
ENSMUSG00000086139.2	Gm11211
ENSMUSG00000077161.4	Gm24117
ENSMUSG00000087967.3	Gm25391
ENSMUSG00000082048.2	Gm11481
ENSMUSG00000083635.2	Gm11480
ENSMUSG00000028358.16	Zfp618
ENSMUSG00000028356.5	Ambp
ENSMUSG00000028357.14	Kif12
ENSMUSG00000045672.16	Col27a1
ENSMUSG00000070102.3	Mir455
ENSMUSG00000039196.3	Orm1
ENSMUSG00000082141.2	Gm11212
ENSMUSG00000028359.5	Orm3
ENSMUSG00000061540.4	Orm2
ENSMUSG00000039158.12	Akna
ENSMUSG00000086953.2	Aknaos
ENSMUSG00000120352.1	Gm57078
ENSMUSG00000039137.19	Whrn
ENSMUSG00000039105.7	Atp6v1g1
ENSMUSG00000045917.18	Tmem268
ENSMUSG00000083943.2	Gm11483
ENSMUSG00000119757.2	Gm24448
ENSMUSG00000084782.3	Tex53
ENSMUSG00000058935.15	Tex48
ENSMUSG00000077504.3	Gm24234
ENSMUSG00000086817.2	Gm11482
ENSMUSG00000099294.3	Gm11214
ENSMUSG00000050395.10	Tnfsf15
ENSMUSG00000028362.3	Tnfsf8
ENSMUSG00000084345.4	Rpl17-ps4
ENSMUSG00000028364.16	Tnc
ENSMUSG00000073821.12	8030451A03Rik
ENSMUSG00000086755.2	Gm11216
ENSMUSG00000120418.1	Gm31115
ENSMUSG00000085032.2	Gm11217
ENSMUSG00000077214.3	Gm23950
ENSMUSG00000081941.2	Gm11218
ENSMUSG00000080805.2	Gm11219
ENSMUSG00000028370.8	Pappa
ENSMUSG00000028373.17	Astn2
ENSMUSG00000051675.14	Trim32
ENSMUSG00000083080.2	Gm11484
ENSMUSG00000065151.3	Gm25480
ENSMUSG00000082053.2	Gm11220
ENSMUSG00000039005.14	Tlr4
ENSMUSG00000121059.1	Gm57137
ENSMUSG00000081435.2	Gm11403
ENSMUSG00000080815.2	Hmgb1-rs18
ENSMUSG00002075222.1	Gm55159
ENSMUSG00000083087.2	Gm11249
ENSMUSG00000086364.2	Gm11751
ENSMUSG00000064762.3	Gm23738
ENSMUSG00000081231.2	Tcp1-ps1
ENSMUSG00000086790.2	Gm12911
ENSMUSG00000028351.6	Brinp1
ENSMUSG00000065815.3	Gm24697
ENSMUSG00000082553.2	Gm11404
ENSMUSG00000120491.1	Gm57077
ENSMUSG00000082998.4	Gm11221
ENSMUSG00000085627.3	Gm11222
ENSMUSG00000046341.6	Gm11223
ENSMUSG00000084342.2	Gm11224
ENSMUSG00000082368.2	Gm11225
ENSMUSG00000039298.17	Cdk5rap2
ENSMUSG00000080902.2	Ywhaq-ps3
ENSMUSG00002076539.1	Gm55177
ENSMUSG00000039270.10	Megf9
ENSMUSG00000083549.2	Gm11227
ENSMUSG00000084937.2	Gm11228
ENSMUSG00000082017.2	Gm11229
ENSMUSG00000083914.4	Rps18-ps1
ENSMUSG00000082432.2	Gm11231
ENSMUSG00000066141.3	Gm11232
ENSMUSG00000081117.2	Gm11233
ENSMUSG00000086696.2	Gm11234
ENSMUSG00000008305.20	Tle1
ENSMUSG00000086027.2	Gm11250
ENSMUSG00000084910.3	C630043F03Rik
ENSMUSG00000083372.2	Gm11235
ENSMUSG00000059343.5	Aldoart1
ENSMUSG00000084173.2	Gm5287
ENSMUSG00000089098.3	Gm25653
ENSMUSG00000084162.2	Gm11251
ENSMUSG00000089194.3	Gm25769
ENSMUSG00000066137.14	Gm11487
ENSMUSG00000080222.3	Gm11486
ENSMUSG00000082566.2	Gm11485
ENSMUSG00000081871.2	Gm11488
ENSMUSG00000077312.3	Gm24170
ENSMUSG00000121585.1	Gm38423
ENSMUSG00000094116.2	Gm11237
ENSMUSG00000096700.2	Gm11236
ENSMUSG00000095935.3	Gm11238
ENSMUSG00000095048.9	Gm11239
ENSMUSG00000095341.2	Gm428
ENSMUSG00000043003.15	Rasef
ENSMUSG00000085034.2	Gm11240
ENSMUSG00000083530.2	Gm13867
ENSMUSG00000096530.8	Gm11758
ENSMUSG00000096750.8	Gm11757
ENSMUSG00000096333.8	Gm13871
ENSMUSG00000093962.8	Gm11756
ENSMUSG00000028396.6	2310002L09Rik
ENSMUSG00000049122.18	Frmd3
ENSMUSG00000081048.2	Gm11760
ENSMUSG00000083767.2	Gm11405
ENSMUSG00000028397.14	Kdm4c
ENSMUSG00000085482.2	A230083N12Rik
ENSMUSG00002075833.1	Gm26379
ENSMUSG00000104700.3	Gm26379
ENSMUSG00000081438.2	Gm11254
ENSMUSG00000083659.2	Gm11258
ENSMUSG00000082533.2	Gm11253
ENSMUSG00000084311.2	Gm11257
ENSMUSG00000081067.2	Gm12912
ENSMUSG00000028398.9	Dmac1
ENSMUSG00000119949.1	Gm57063
ENSMUSG00002075396.1	Gm55296
ENSMUSG00000083224.2	Csnk2a1-ps4
ENSMUSG00000084026.2	Gm11259
ENSMUSG00000084253.2	Gm11256
ENSMUSG00000081844.2	Gm11241
ENSMUSG00000028399.19	Ptprd
ENSMUSG00000080780.2	Gm11252
ENSMUSG00000110373.3	Gm42303
ENSMUSG00000083050.3	Gm11242
ENSMUSG00000081890.2	Gm11243
ENSMUSG00000081936.2	Gm11244
ENSMUSG00000084090.2	Gm11245
ENSMUSG00000081656.2	Gm11246
ENSMUSG00002076969.1	Gm55410
ENSMUSG00000092492.3	B230208B08Rik
ENSMUSG00000082351.2	Gm11260
ENSMUSG00000085840.2	Gm11261
ENSMUSG00002076908.1	Gm55411
ENSMUSG00000083629.2	Gm11262
ENSMUSG00000089543.3	Gm25836
ENSMUSG00000083496.2	Gm11263
ENSMUSG00000084248.2	Gm11409
ENSMUSG00000082179.2	Gm11407
ENSMUSG00000083076.2	Gm11408
ENSMUSG00000083219.2	Gm11410
ENSMUSG00000082555.2	Gm11406
ENSMUSG00000005994.15	Tyrp1
ENSMUSG00000048706.4	Lurap1l
ENSMUSG00002075952.1	Gm55413
ENSMUSG00000028402.20	Mpdz
ENSMUSG00000077607.3	Gm25803
ENSMUSG00000081391.2	Gm11765
ENSMUSG00000083385.2	Gm11411
ENSMUSG00000087540.2	Gm11412
ENSMUSG00002076931.1	Gm55520
ENSMUSG00000087608.2	Gm12914
ENSMUSG00000087110.3	Gm11264
ENSMUSG00002075489.1	Gm55533
ENSMUSG00000085022.4	Gm5860
ENSMUSG00000008575.18	Nfib
ENSMUSG00002075784.1	Gm55570
ENSMUSG00000120940.1	Gm57123
ENSMUSG00000087413.3	Gm11266
ENSMUSG00000084851.2	Gm11267
ENSMUSG00000084357.2	Gm11268
ENSMUSG00000086293.2	Gm11269
ENSMUSG00000028403.16	Zdhhc21
ENSMUSG00000038192.6	Cer1
ENSMUSG00000059049.16	Frem1
ENSMUSG00000089409.3	Gm24884
ENSMUSG00000082637.3	Gm11248
ENSMUSG00000083245.2	Gm11185
ENSMUSG00000038172.15	Ttc39b
ENSMUSG00000119168.1	Gm23412
ENSMUSG00000086321.2	Gm11413
ENSMUSG00000087592.2	Gm11184
ENSMUSG00000028483.14	Snapc3
ENSMUSG00000028484.17	Psip1
ENSMUSG00000082416.2	Gm11414
ENSMUSG00000066116.4	Gm10154
ENSMUSG00000120694.1	Gm57097
ENSMUSG00000052407.18	Ccdc171
ENSMUSG00000064606.3	Gm25899
ENSMUSG00000098217.2	Gm27046
ENSMUSG00000080793.2	Cbx3-ps3
ENSMUSG00000097942.2	Gm26968
ENSMUSG00000085378.2	Gm11415
ENSMUSG00000085217.2	6030471H07Rik
ENSMUSG00000083044.2	Gm12416
ENSMUSG00000087378.2	Gm12414
ENSMUSG00000028487.19	Bnc2
ENSMUSG00000083743.2	Gm12421
ENSMUSG00000081775.2	Gm12420
ENSMUSG00000086413.2	Gm12415
ENSMUSG00000038070.16	Cntln
ENSMUSG00000083139.2	Gm12418
ENSMUSG00000080303.3	Gm12419
ENSMUSG00000084267.2	Gm12417
ENSMUSG00000028488.16	Sh3gl2
ENSMUSG00000081862.2	Gm12413
ENSMUSG00000066113.17	Adamtsl1
ENSMUSG00002074882.1	Gm55684
ENSMUSG00000064687.3	Gm25811
ENSMUSG00000083272.2	Gm12550
ENSMUSG00000028492.14	Saxo1
ENSMUSG00000077597.4	Gm26017
ENSMUSG00000085108.2	Saxo1os
ENSMUSG00000070934.7	Rraga
ENSMUSG00000038047.19	Haus6
ENSMUSG00000088958.3	Scarna8
ENSMUSG00000081169.2	Gm12551
ENSMUSG00000028494.13	Plin2
ENSMUSG00000038024.18	Dennd4c
ENSMUSG00000082969.2	Gm12630
ENSMUSG00000028495.15	Rps6
ENSMUSG00000038007.15	Acer2
ENSMUSG00000037996.18	Slc24a2
ENSMUSG00000086512.2	Gm12600
ENSMUSG00002075661.1	Gm55749
ENSMUSG00000082443.2	Gm12604
ENSMUSG00000028496.18	Mllt3
ENSMUSG00000084809.2	Gm12631
ENSMUSG00000081530.2	Gm12646
ENSMUSG00000038368.17	Focad
ENSMUSG00000070077.4	Mir491
ENSMUSG00000082597.2	Gm12645
ENSMUSG00000028497.13	Hacd4
ENSMUSG00000048806.5	Ifnb1
ENSMUSG00000096011.2	Ifna15
ENSMUSG00000095896.2	Ifna14
ENSMUSG00000080964.2	Ifna-ps1
ENSMUSG00000095270.2	Ifna9
ENSMUSG00000078480.4	Mrpl48-ps
ENSMUSG00000073811.5	Ifna12
ENSMUSG00000083958.2	Gm12601
ENSMUSG00000038330.11	Pramel32
ENSMUSG00000063376.7	Ifna13
ENSMUSG00000081784.2	Gm13281
ENSMUSG00000078355.2	Ifna16
ENSMUSG00000078354.2	Ifna2
ENSMUSG00000100079.2	Ifnab
ENSMUSG00000081893.2	Gm13273
ENSMUSG00000084192.2	Gm13282
ENSMUSG00000070923.5	Klhl9
ENSMUSG00000086074.3	Gm13274
ENSMUSG00000117268.2	Gm49884
ENSMUSG00000094618.2	Gm13271
ENSMUSG00000081501.6	Gm13286
ENSMUSG00000100505.2	Gm13283
ENSMUSG00000082789.4	Gm13284
ENSMUSG00000094271.2	Gm13290
ENSMUSG00000096582.2	Gm13289
ENSMUSG00000096591.2	Gm13272
ENSMUSG00000096854.2	Ifnz
ENSMUSG00000099545.2	Gm13276
ENSMUSG00000100234.2	Gm13277
ENSMUSG00000101163.2	Gm13278
ENSMUSG00000099518.2	Gm13275
ENSMUSG00000099420.2	Gm13279
ENSMUSG00000095101.3	Gm13285
ENSMUSG00000094648.2	Gm13287
ENSMUSG00000070908.2	Gm13288
ENSMUSG00000100713.2	Ifna7
ENSMUSG00000100549.2	Ifna11
ENSMUSG00000101252.2	Ifna6
ENSMUSG00000096682.2	Ifna5
ENSMUSG00000070904.5	Ifna4
ENSMUSG00000095498.2	Ifna1
ENSMUSG00000054351.3	4930553M12Rik
ENSMUSG00000045364.3	Ifne
ENSMUSG00000117123.2	Gm49890
ENSMUSG00000065408.3	Mir31
ENSMUSG00000117251.2	Gm49891
ENSMUSG00000085183.2	Wincr1
ENSMUSG00000085569.3	Gm12602
ENSMUSG00000062937.8	Mtap
ENSMUSG00000083989.3	Gm12607
ENSMUSG00000088504.4	Gm26490
ENSMUSG00000107513.2	Tgif2-ps1
ENSMUSG00000087659.8	Gm12606
ENSMUSG00000044303.7	Cdkn2a
ENSMUSG00000086035.3	Gm12610
ENSMUSG00000073802.6	Cdkn2b
ENSMUSG00000080808.2	Gm12608
ENSMUSG00002075062.1	Gm55777
ENSMUSG00000043753.3	Dmrta1
ENSMUSG00000085690.2	Gm12629
ENSMUSG00000070902.6	Zfp352
ENSMUSG00000080756.2	Gm12633
ENSMUSG00000082569.2	Gm12634
ENSMUSG00000081563.2	Gm12635
ENSMUSG00000082502.2	Gm12636
ENSMUSG00000082622.2	Gm12632
ENSMUSG00000096896.3	Gm25244
ENSMUSG00000079962.3	Gm12643
ENSMUSG00000081876.2	Gm12644
ENSMUSG00000008489.19	Elavl2
ENSMUSG00000083377.2	Gm12653
ENSMUSG00000098563.3	Mir6402
ENSMUSG00000085817.2	Gm12668
ENSMUSG00000086042.2	Gm12670
ENSMUSG00000082523.2	Gm12667
ENSMUSG00000100863.2	Gm12669
ENSMUSG00000095937.2	Gm12671
ENSMUSG00000087517.2	4930577H14Rik
ENSMUSG00000028533.11	Izumo3
ENSMUSG00000066107.7	Larp7-ps
ENSMUSG00000083296.2	Gm12638
ENSMUSG00000085209.2	Gm12637
ENSMUSG00000088914.3	Gm22605
ENSMUSG00000081987.2	Gm12639
ENSMUSG00000082919.2	Gm12641
ENSMUSG00000082325.2	Gm12642
ENSMUSG00000054000.6	Tusc1
ENSMUSG00000120651.1	Gm31828
ENSMUSG00000084833.2	Gm12649
ENSMUSG00000064850.3	Gm23443
ENSMUSG00000083607.2	Gm12640
ENSMUSG00000119654.1	Gm24796
ENSMUSG00002076093.1	Gm55796
ENSMUSG00000073797.6	Gm12650
ENSMUSG00000081685.2	Gm12647
ENSMUSG00000085931.2	Gm12648
ENSMUSG00002076402.1	Gm55797
ENSMUSG00000081508.2	Gm12654
ENSMUSG00002076227.1	Gm55798
ENSMUSG00000087128.9	Gm12655
ENSMUSG00002074983.1	Gm55799
ENSMUSG00000083359.2	Gm12656
ENSMUSG00000028578.9	Caap1
ENSMUSG00000028577.14	Plaa
ENSMUSG00000063314.6	Gm12657
ENSMUSG00000120529.1	Gm57080
ENSMUSG00000028576.13	Ift74
ENSMUSG00000049799.14	Lrrc19
ENSMUSG00000077921.3	Mir872
ENSMUSG00000006386.16	Tek
ENSMUSG00000028575.12	Eqtn
ENSMUSG00000083179.4	Gm12693
ENSMUSG00000062627.10	Mysm1
ENSMUSG00000086251.2	Gm12694
ENSMUSG00000052767.6	Gm12703
ENSMUSG00000081030.2	Gm12704
ENSMUSG00000052684.6	Jun
ENSMUSG00000087366.9	Junos
ENSMUSG00002076977.1	Gm55834
ENSMUSG00000085377.2	4930551L18Rik
ENSMUSG00000100189.2	Gm28096
ENSMUSG00000084918.3	Gm12708
ENSMUSG00000100129.2	Gm29064
ENSMUSG00000084939.4	Gm830
ENSMUSG00000085835.2	Gm12707
ENSMUSG00000065745.4	Gm25004
ENSMUSG00000028573.19	Fggy
ENSMUSG00000093492.2	Gm20651
ENSMUSG00000044125.8	9530080O11Rik
ENSMUSG00000028572.14	Hook1
ENSMUSG00000028571.16	Cyp2j13
ENSMUSG00000118637.2	Gm53021
ENSMUSG00000083880.2	Hspe1-ps6
ENSMUSG00000081225.4	Cyp2j12
ENSMUSG00000080884.2	Cyp2j7-ps3
ENSMUSG00000083801.2	Cyp2j7-ps2
ENSMUSG00000082681.2	Cyp2j7-ps1
ENSMUSG00000081362.4	Cyp2j7
ENSMUSG00000084286.2	Cyp2j15-ps
ENSMUSG00000066097.7	Cyp2j11
ENSMUSG00000082119.2	Cyp2j14-ps
ENSMUSG00000082932.4	Cyp2j8
ENSMUSG00000052914.5	Cyp2j6
ENSMUSG00000015224.11	Cyp2j9
ENSMUSG00000052520.8	Cyp2j5
ENSMUSG00000078639.2	Gm12695
ENSMUSG00000088738.5	Gm55858
ENSMUSG00000098261.3	Gm27521
ENSMUSG00000084159.2	Gm12696
ENSMUSG00000082683.2	Gm12697
ENSMUSG00000048747.15	E130114P18Rik
ENSMUSG00000085710.2	Gm12676
ENSMUSG00000028565.19	Nfia
ENSMUSG00000121729.1	ENSMUSG00000121729
ENSMUSG00000081096.4	Gm12691
ENSMUSG00000082388.2	Gm12692
ENSMUSG00000083644.2	Gm12787
ENSMUSG00000064883.3	Gm24203
ENSMUSG00000046683.17	0610025J13Rik
ENSMUSG00000082144.2	Gm12788
ENSMUSG00000028563.17	Tm2d1
ENSMUSG00002076552.1	Gm55877
ENSMUSG00000061859.18	Patj
ENSMUSG00002076106.1	Gm55906
ENSMUSG00002076456.1	Gm55907
ENSMUSG00000081046.2	Gm12846
ENSMUSG00000120805.1	Gm35137
ENSMUSG00000087166.10	L1td1
ENSMUSG00000035407.9	Kank4
ENSMUSG00000085843.2	Kank4os
ENSMUSG00000073794.4	I0C0044D17Rik
ENSMUSG00000084188.2	Gm12851
ENSMUSG00000028560.12	Usp1
ENSMUSG00000028556.16	Dock7
ENSMUSG00000028553.13	Angptl3
ENSMUSG00000081733.2	Gm12852
ENSMUSG00000087395.2	Gm12705
ENSMUSG00000086498.2	Gm12681
ENSMUSG00000028550.16	Atg4c
ENSMUSG00000104479.2	Gm10305
ENSMUSG00000070891.3	Gm12689
ENSMUSG00000103097.2	Gm37556
ENSMUSG00000081184.2	Gm12685
ENSMUSG00000082442.2	Gm12686
ENSMUSG00000081150.2	Gm12684
ENSMUSG00000080803.2	Gm12683
ENSMUSG00000103575.2	Gm37117
ENSMUSG00000087332.3	Gm12690
ENSMUSG00000083698.2	Gm12687
ENSMUSG00000120311.1	Gm57124
ENSMUSG00000086096.3	Gm12688
ENSMUSG00000067261.5	Foxd3
ENSMUSG00002076832.1	Gm55933
ENSMUSG00000086592.2	Gm12682
ENSMUSG00000073792.12	Alg6
ENSMUSG00000028549.18	Itgb3bp
ENSMUSG00000073791.14	Efcab7
ENSMUSG00000084478.4	Gm26425
ENSMUSG00000025791.19	Pgm1
ENSMUSG00000085142.2	Gm12702
ENSMUSG00000035305.6	Ror1
ENSMUSG00000086385.2	Gm12701
ENSMUSG00000080967.2	Gm12706
ENSMUSG00000069733.12	Ube2u
ENSMUSG00000085871.2	Ube2uos
ENSMUSG00000081553.2	Ccdc50-ps
ENSMUSG00000082601.2	Gm12700
ENSMUSG00000028532.15	Cachd1
ENSMUSG00000073789.3	Gm10577
ENSMUSG00000102578.2	Gm10576
ENSMUSG00000035275.15	Raver2
ENSMUSG00000088551.3	Gm22100
ENSMUSG00000028530.15	Jak1
ENSMUSG00000077677.3	Gm24468
ENSMUSG00000082928.2	Gm12785
ENSMUSG00000065279.3	Gm25124
ENSMUSG00000085863.2	Gm12801
ENSMUSG00000085721.3	Gm12796
ENSMUSG00000120569.1	Gm57083
ENSMUSG00000081621.2	Gm12793
ENSMUSG00000086782.4	E130102H24Rik
ENSMUSG00000065451.3	Mir101a
ENSMUSG00000087361.8	0610043K17Rik
ENSMUSG00000083614.2	Gm12795
ENSMUSG00000084758.2	Gm12798
ENSMUSG00000028527.19	Ak4
ENSMUSG00000028528.18	Dnajc6
ENSMUSG00000120834.1	Gm36012
ENSMUSG00002075496.1	Gm55970
ENSMUSG00000035212.15	Leprot
ENSMUSG00000057722.18	Lepr
ENSMUSG00000035201.17	Pramel17
ENSMUSG00000081121.2	Gm12791
ENSMUSG00000081045.2	Gm12797
ENSMUSG00000046133.5	C130073F10Rik
ENSMUSG00000084208.2	Gm12792
ENSMUSG00000037028.9	Pramel18
ENSMUSG00000070890.5	Pramel19
ENSMUSG00000078626.3	Gm12790
ENSMUSG00000078625.12	Gm12789
ENSMUSG00000082264.2	Gm12799
ENSMUSG00000028525.17	Pde4b
ENSMUSG00000077260.3	Gm24869
ENSMUSG00000028524.22	Sgip1
ENSMUSG00000085181.2	Gm12709
ENSMUSG00000028523.15	Dynlt5
ENSMUSG00000085041.3	BB031773
ENSMUSG00000066090.6	Insl5
ENSMUSG00000035126.21	Dnai4
ENSMUSG00000080744.2	Gm12710
ENSMUSG00000028522.17	Mier1
ENSMUSG00000028521.18	Slc35d1
ENSMUSG00000107726.2	Gm44037
ENSMUSG00000028520.13	4921539E11Rik
ENSMUSG00000078618.4	4930456L15Rik
ENSMUSG00000035069.4	Oma1
ENSMUSG00000086136.2	Gm12718
ENSMUSG00002076094.1	Gm56006
ENSMUSG00000087482.2	Gm12720
ENSMUSG00000081584.2	Gm12716
ENSMUSG00000059195.11	Gm12715
ENSMUSG00002075410.1	Gm56007
ENSMUSG00000077514.3	Gm25877
ENSMUSG00000028519.17	Dab1
ENSMUSG00000080913.2	Gm12719
ENSMUSG00000081696.3	Gm12717
ENSMUSG00000029656.14	C8b
ENSMUSG00000035031.16	C8a
ENSMUSG00000078612.10	Fyb2
ENSMUSG00000083791.2	Gm12721
ENSMUSG00000028518.9	Prkaa2
ENSMUSG00000028517.9	Plpp3
ENSMUSG00000081819.2	Gm12722
ENSMUSG00000083128.2	Gm12723
ENSMUSG00000082061.2	Gm12726
ENSMUSG00000083780.10	Gm12728
ENSMUSG00002075274.1	Gm54744
ENSMUSG00000085790.2	Gm12729
ENSMUSG00000082768.2	Gm12727
ENSMUSG00000087933.3	Gm26047
ENSMUSG00002076517.1	Gm26047
ENSMUSG00000081189.2	Hspd1-ps4
ENSMUSG00000086249.2	Gm12724
ENSMUSG00000082958.2	Gm12731
ENSMUSG00000087051.2	Gm12730
ENSMUSG00000104192.2	Gm37253
ENSMUSG00000120027.1	Gm57071
ENSMUSG00000028514.17	Usp24
ENSMUSG00000044254.7	Pcsk9
ENSMUSG00000120579.1	Gm30487
ENSMUSG00000025418.8	Bsnd
ENSMUSG00000118551.2	Gm53010
ENSMUSG00000085933.5	Tmem61
ENSMUSG00000086172.2	2700068H02Rik
ENSMUSG00000034926.4	Dhcr24
ENSMUSG00000085023.2	Gm12744
ENSMUSG00000054362.10	Lexm
ENSMUSG00000034919.3	Ttc22
ENSMUSG00000043572.8	Pars2
ENSMUSG00000025413.14	Ttc4
ENSMUSG00000047502.15	Mroh7
ENSMUSG00000034871.3	Fam151a
ENSMUSG00000034853.17	Acot11
ENSMUSG00000081110.2	Gm12745
ENSMUSG00000120102.1	Gm31125
ENSMUSG00000120181.1	Gm57074
ENSMUSG00000086940.2	Gm12746
ENSMUSG00000061887.15	Ssbp3
ENSMUSG00000085581.2	Gm12786
ENSMUSG00000028622.12	Mrpl37
ENSMUSG00000028621.18	Cyb5rl
ENSMUSG00000047636.4	Cdcp2
ENSMUSG00000085304.2	Gm12802
ENSMUSG00000028619.16	Tceanc2
ENSMUSG00000028618.12	Tmem59
